image_id,tile_id,region_id,area,rad51_count_th0.15,rad51_area_th0.15,rad51_count_th0.2,rad51_area_th0.2,rad51_count_th0.25,rad51_area_th0.25,prob_count_th0.3,prob_area_th0.3,prob_count_th0.365,prob_area_th0.365,prob_count_th0.4,prob_area_th0.4
A1,tile_03,20,1484.0,10,0.02116976181664281,6,0.012701857089985686,1,0.0021169761816642813,5,0.03716469582200372,5,0.03716469582200372,4,0.031284206318405436
A1,tile_03,21,1224.0,17,0.06473688565403805,8,0.033936957677667516,3,0.00769998199409263,7,0.1414515426735473,4,0.08298870161467907,2,0.041351757797540405
A1,tile_03,22,865.0,4,0.017352406436012987,1,0.0036318990214910902,1,0.0036318990214910902,3,0.044389881288385113,3,0.044389881288385113,3,0.044389881288385113
A1,tile_03,23,1027.0,3,0.009176998988090924,1,0.0030589996626969747,0,0.0,2,0.03025011101623357,0,0.0,0,0.0
A1,tile_03,24,1820.0,13,0.022439947525641383,5,0.008630749048323607,2,0.003452299619329443,11,0.11469307364998282,6,0.07269009600628863,3,0.056195772611177884
A1,tile_03,25,111.0,6,0.19182898084982722,1,0.05031579825569238,0,0.0,1,0.15409215291341147,0,0.0,0,0.0
A1,tile_03,26,1050.0,13,0.07180783208205242,4,0.011967972013675403,2,0.005983986006837702,6,0.16588939848400297,2,0.0282577151343936,0,0.0
A1,tile_03,27,873.0,5,0.02079200941665639,2,0.007197234028842596,0,0.0,3,0.04838141215216253,3,0.04838141215216253,3,0.04838141215216253
A1,tile_03,28,1205.0,12,0.03534110684536237,4,0.01245629175697198,2,0.0052142616657092,6,0.07734488966059389,5,0.07010285943375584,4,0.0628608292069178
A1,tile_03,29,1064.0,5,0.014763123372132486,4,0.01181049869770599,0,0.0,2,0.05544373146573404,1,0.04724199610545223,1,0.04724199610545223
A1,tile_03,30,1086.0,10,0.04274931685363644,4,0.011571243659630914,1,0.0028928109149077286,5,0.1237480346230073,3,0.11056966764053149,3,0.11056966764053149
A1,tile_03,31,1588.0,20,0.04704036019229051,4,0.007913331621132981,4,0.007913331621132981,8,0.12287647237705644,2,0.024839072143400948,1,0.014068147097186418
A1,tile_03,32,1118.0,4,0.013425609630725612,0,0.0,0,0.0,5,0.09366704568879976,4,0.08586145854806644,3,0.06587915301109683
A1,tile_03,33,1090.0,2,0.005764390190073015,0,0.0,0,0.0,2,0.046755610474752726,0,0.0,0,0.0
A1,tile_03,34,823.0,6,0.0258724384864287,1,0.006786213373489495,0,0.0,1,0.020782781255636297,1,0.020782781255636297,0,0.0
